user_id,product_id,timestamp
user_68,prod_28,2026-07-06T00:03:00Z
user_118,prod_9,2026-07-06T00:10:00Z
user_88,prod_40,2026-07-06T00:10:00Z
user_72,prod_16,2026-07-06T00:13:00Z
user_107,prod_4,2026-07-06T00:15:00Z
user_143,prod_3,2026-07-06T00:18:00Z
user_123,prod_37,2026-07-06T00:23:00Z
user_42,prod_26,2026-07-06T00:28:00Z
user_106,prod_21,2026-07-06T00:32:00Z
user_78,prod_17,2026-07-06T00:33:00Z
user_107,prod_35,2026-07-06T00:33:00Z
user_69,prod_31,2026-07-06T00:34:00Z
user_96,prod_24,2026-07-06T00:37:00Z
user_45,prod_13,2026-07-06T00:38:00Z
user_146,prod_6,2026-07-06T00:38:00Z
user_60,prod_31,2026-07-06T00:51:00Z
user_132,prod_32,2026-07-06T00:53:00Z
user_144,prod_23,2026-07-06T00:54:00Z
user_110,prod_41,2026-07-06T01:02:00Z
user_83,prod_18,2026-07-06T01:07:00Z
user_131,prod_29,2026-07-06T01:11:00Z
user_143,prod_12,2026-07-06T01:14:00Z
user_122,prod_30,2026-07-06T01:15:00Z
user_125,prod_47,2026-07-06T01:16:00Z
user_82,prod_33,2026-07-06T01:22:00Z
user_74,prod_37,2026-07-06T01:24:00Z
user_132,prod_48,2026-07-06T01:24:00Z
user_132,prod_13,2026-07-06T01:25:00Z
user_81,prod_48,2026-07-06T01:26:00Z
user_75,prod_29,2026-07-06T01:26:00Z
user_123,prod_29,2026-07-06T01:29:00Z
user_68,prod_13,2026-07-06T01:29:00Z
user_45,prod_9,2026-07-06T01:32:00Z
user_69,prod_8,2026-07-06T01:37:00Z
user_61,prod_16,2026-07-06T01:43:00Z
user_60,prod_47,2026-07-06T01:45:00Z
user_142,prod_47,2026-07-06T01:45:00Z
user_48,prod_17,2026-07-06T01:46:00Z
user_53,prod_17,2026-07-06T01:47:00Z
user_112,prod_15,2026-07-06T01:47:00Z
user_86,prod_33,2026-07-06T01:53:00Z
user_88,prod_3,2026-07-06T01:56:00Z
user_40,prod_45,2026-07-06T02:02:00Z
user_113,prod_2,2026-07-06T02:04:00Z
user_119,prod_16,2026-07-06T02:07:00Z
user_142,prod_48,2026-07-06T02:07:00Z
user_54,prod_9,2026-07-06T02:09:00Z
user_98,prod_8,2026-07-06T02:10:00Z
user_116,prod_23,2026-07-06T02:12:00Z
user_108,prod_10,2026-07-06T02:14:00Z
user_113,prod_22,2026-07-06T02:14:00Z
user_98,prod_24,2026-07-06T02:18:00Z
user_50,prod_29,2026-07-06T02:19:00Z
user_134,prod_23,2026-07-06T02:27:00Z
user_122,prod_29,2026-07-06T02:30:00Z
user_46,prod_9,2026-07-06T02:31:00Z
user_136,prod_37,2026-07-06T02:31:00Z
user_132,prod_4,2026-07-06T02:33:00Z
user_78,prod_19,2026-07-06T02:37:00Z
user_78,prod_29,2026-07-06T02:37:00Z
user_36,prod_19,2026-07-06T02:41:00Z
user_82,prod_34,2026-07-06T02:41:00Z
user_136,prod_2,2026-07-06T02:46:00Z
user_37,prod_44,2026-07-06T02:47:00Z
user_134,prod_22,2026-07-06T02:52:00Z
user_107,prod_46,2026-07-06T02:53:00Z
user_39,prod_6,2026-07-06T02:54:00Z
user_116,prod_43,2026-07-06T02:55:00Z
user_47,prod_40,2026-07-06T02:56:00Z
user_96,prod_21,2026-07-06T02:57:00Z
user_49,prod_28,2026-07-06T03:07:00Z
user_147,prod_34,2026-07-06T03:11:00Z
user_82,prod_27,2026-07-06T03:14:00Z
user_82,prod_43,2026-07-06T03:15:00Z
user_42,prod_28,2026-07-06T03:17:00Z
user_62,prod_10,2026-07-06T03:18:00Z
user_140,prod_24,2026-07-06T03:23:00Z
user_122,prod_31,2026-07-06T03:25:00Z
user_68,prod_21,2026-07-06T03:30:00Z
user_38,prod_29,2026-07-06T03:31:00Z
user_42,prod_28,2026-07-06T03:36:00Z
user_96,prod_36,2026-07-06T03:37:00Z
user_99,prod_1,2026-07-06T03:40:00Z
user_96,prod_38,2026-07-06T03:43:00Z
user_65,prod_9,2026-07-06T03:43:00Z
user_133,prod_12,2026-07-06T03:45:00Z
user_98,prod_28,2026-07-06T03:47:00Z
user_65,prod_13,2026-07-06T03:50:00Z
user_84,prod_19,2026-07-06T03:55:00Z
user_147,prod_36,2026-07-06T04:01:00Z
user_68,prod_21,2026-07-06T04:05:00Z
user_96,prod_15,2026-07-06T04:08:00Z
